Date,Description,Deposits,Withdrawls,Balance
23-Aug-20,Interest,0,"71,279.69","427,678.16"
23-Aug-20,Cash,0,"47,519.80","380,158.36"
23-Aug-20,Miscellaneous,0,"76,031.67","304,126.69"
23-Aug-20,Miscellaneous,0,"43,446.67","260,680.02"
24-Aug-20,Tax,"1,086,041.00",0,"1,346,721.02"
24-Aug-20,Bill,497.06,0,"1,347,218.08"
24-Aug-20,Transfer,0,"134,721.81","1,212,496.27"
24-Aug-20,Cheque,0,"151,562.03","1,060,934.24"
24-Aug-20,Transfer,"1,846.56",0,"1,062,780.80"
24-Aug-20,Debit Card,"631,472.00",0,"1,694,252.80"
24-Aug-20,Purchase,"15,629.00",0,"1,709,881.80"
24-Aug-20,IMPS,"174,734.70",0,"1,884,616.50"
24-Aug-20,Cheque,26.9,0,"1,884,643.40"
24-Aug-20,Cash,274.7,0,"1,884,918.10"
24-Aug-20,Purchase,15.2,0,"1,884,933.30"
24-Aug-20,RTGS,0,"188,493.33","1,696,439.97"
24-Aug-20,ATM,0,"565,479.99","1,130,959.98"
24-Aug-20,Reversal,"74,038.72",0,"1,204,998.70"
24-Aug-20,ATM,0,"172,142.67","1,032,856.03"
24-Aug-20,Miscellaneous,"86,627.00",0,"1,119,483.03"
24-Aug-20,Tax,0,"1,119,483.03",0
25-Aug-20,RTGS,"3,364.10",0,"3,364.10"
25-Aug-20,Transfer,0,420.51,"2,943.59"
26-Aug-20,Interest,"10,699.78",0,"13,643.37"
26-Aug-20,Tax,0,"1,705.42","11,937.95"
26-Aug-20,RTGS,0,"1,492.24","10,445.71"
26-Aug-20,RTGS,0,"1,160.63","9,285.08"
26-Aug-20,Purchase,0,"1,857.02","7,428.06"
26-Aug-20,NEFT,0,"1,238.01","6,190.05"
26-Aug-20,RTGS,0,"1,031.68","5,158.38"
26-Aug-20,Purchase,"1,098.20",0,"6,256.58"
26-Aug-20,Cash,0,"1,251.32","5,005.26"
26-Aug-20,Interest,46.2,0,"5,051.46"
26-Aug-20,NEFT,"3,871.60",0,"8,923.06"
26-Aug-20,Debit Card,0,"1,784.61","7,138.45"
26-Aug-20,ATM,0,713.85,"6,424.60"
27-Aug-20,Transfer,329.6,0,"6,754.20"
27-Aug-20,NEFT,0,"1,125.70","5,628.50"
27-Aug-20,Tax,"32,651.54",0,"38,280.04"
27-Aug-20,ATM,44,0,"38,324.04"
27-Aug-20,ATM,1.24,0,"38,325.28"
27-Aug-20,Commission,0,"12,775.09","25,550.19"
27-Aug-20,IMPS,0,"2,838.91","22,711.28"
27-Aug-20,NEFT,887.03,0,"23,598.31"
27-Aug-20,ATM,"70,759.00",0,"94,357.31"
27-Aug-20,Miscellaneous,0,"10,484.15","83,873.16"
27-Aug-20,Miscellaneous,6,0,"83,879.16"
27-Aug-20,Miscellaneous,0,"10,484.90","73,394.26"
27-Aug-20,Cheque,"134,526.00",0,"207,920.26"
27-Aug-20,Interest,232,0,"208,152.26"
27-Aug-20,NEFT,0,"26,019.03","182,133.23"
27-Aug-20,IMPS,0,"26,019.03","156,114.20"
27-Aug-20,RTGS,0,"19,514.28","136,599.93"
27-Aug-20,Miscellaneous,0,"15,177.77","121,422.16"
27-Aug-20,Cash,37.1,0,"121,459.26"
27-Aug-20,Transfer,51.9,0,"121,511.16"
27-Aug-20,Purchase,"977,896.00",0,"1,099,407.16"
27-Aug-20,ATM,"112,202.47",0,"1,211,609.63"
27-Aug-20,RTGS,"5,812.60",0,"1,217,422.23"
27-Aug-20,ATM,0,"608,711.12","608,711.12"
27-Aug-20,Interest,87,0,"608,798.12"
27-Aug-20,Miscellaneous,"281,350.80",0,"890,148.92"
27-Aug-20,Debit Card,0,"445,074.46","445,074.46"
27-Aug-20,Tax,"363,356.00",0,"808,430.46"
27-Aug-20,Cheque,0,"80,843.05","727,587.41"
27-Aug-20,Cash,0,"181,896.85","545,690.56"
27-Aug-20,Commission,"95,879.90",0,"641,570.46"
27-Aug-20,Miscellaneous,"18,525.99",0,"660,096.45"
27-Aug-20,Transfer,"3,077.00",0,"663,173.45"
28-Aug-20,Tax,227.4,0,"663,400.85"
28-Aug-20,Purchase,0,"165,850.21","497,550.64"
28-Aug-20,Interest,0,"82,925.11","414,625.53"
28-Aug-20,Cash,0.6,0,"414,626.13"
28-Aug-20,Reversal,0,"46,069.57","368,556.56"
28-Aug-20,NEFT,0,"46,069.57","322,486.99"
28-Aug-20,Reversal,0,"107,495.66","214,991.33"
28-Aug-20,Interest,0,"53,747.83","161,243.50"
28-Aug-20,RTGS,0,"17,915.94","143,327.56"
29-Aug-20,IMPS,0,"71,663.78","71,663.78"
29-Aug-20,Debit Card,44,0,"71,707.78"
29-Aug-20,Bill,0,"17,926.95","53,780.84"
29-Aug-20,NEFT,193.74,0,"53,974.58"
29-Aug-20,Debit Card,"42,941.40",0,"96,915.98"
29-Aug-20,Purchase,"1,491,531.00",0,"1,588,446.98"
29-Aug-20,Cash,"3,716.50",0,"1,592,163.48"
29-Aug-20,Bill,0,"176,907.05","1,415,256.43"
29-Aug-20,RTGS,0,"1,415,256.43",0
29-Aug-20,Debit Card,"223,474.00",0,"223,474.00"
29-Aug-20,Commission,"10,931.00",0,"234,405.00"
29-Aug-20,Interest,0,"234,405.00",0
29-Aug-20,Transfer,31,0,31
29-Aug-20,Commission,0,4.43,26.57
29-Aug-20,Transfer,"1,714,731.00",0,"1,714,757.57"
29-Aug-20,Interest,"3,091.56",0,"1,717,849.13"
29-Aug-20,Transfer,"20,652.90",0,"1,738,502.03"
29-Aug-20,Transfer,"1,635.00",0,"1,740,137.03"
29-Aug-20,Purchase,0,"1,740,137.03",0
29-Aug-20,Purchase,503.59,0,503.59
29-Aug-20,Bill,0,50.36,453.23
29-Aug-20,Commission,0,151.08,302.15
29-Aug-20,Purchase,0,50.36,251.79
29-Aug-20,Interest,0,41.97,209.82
29-Aug-20,RTGS,0,29.97,179.85
29-Aug-20,Bill,0,17.99,161.86
30-Aug-20,RTGS,0,26.98,134.88
30-Aug-20,Cheque,0,19.27,115.61
30-Aug-20,Cheque,0,57.81,57.8
30-Aug-20,Interest,4.3,0,62.1
30-Aug-20,Cash,9,0,71.1
30-Aug-20,Commission,"82,053.30",0,"82,124.40"
30-Aug-20,RTGS,"92,237.06",0,"174,361.46"
30-Aug-20,Commission,"877,120.00",0,"1,051,481.46"
30-Aug-20,Tax,202,0,"1,051,683.46"
30-Aug-20,ATM,"3,312.00",0,"1,054,995.46"
30-Aug-20,Bill,0,"150,713.64","904,281.82"
30-Aug-20,NEFT,0,"452,140.91","452,140.91"
30-Aug-20,ATM,0,"226,070.46","226,070.46"
30-Aug-20,ATM,164,0,"226,234.46"
30-Aug-20,Reversal,"258,167.80",0,"484,402.26"
30-Aug-20,Reversal,0,"48,440.23","435,962.03"
30-Aug-20,NEFT,618.8,0,"436,580.83"
30-Aug-20,Reversal,21,0,"436,601.83"
30-Aug-20,Interest,275.74,0,"436,877.57"
30-Aug-20,ATM,"3,574.50",0,"440,452.07"
31-Aug-20,Commission,17,0,"440,469.07"
31-Aug-20,Interest,0,"220,234.54","220,234.54"
1-Sep-20,Transfer,"6,222.32",0,"226,456.86"
1-Sep-20,ATM,53.3,0,"226,510.16"
1-Sep-20,Reversal,0,"28,313.77","198,196.39"
1-Sep-20,Cash,"938,633.75",0,"1,136,830.14"
1-Sep-20,IMPS,1.4,0,"1,136,831.54"
2-Sep-20,Purchase,"2,719.00",0,"1,139,550.54"
2-Sep-20,NEFT,"238,647.10",0,"1,378,197.64"
2-Sep-20,Debit Card,0,"196,885.38","1,181,312.26"
2-Sep-20,Debit Card,0,"131,256.92","1,050,055.34"
2-Sep-20,RTGS,"1,702,770.20",0,"2,752,825.54"
2-Sep-20,Cheque,0,"550,565.11","2,202,260.43"
2-Sep-20,ATM,"1,261,327.80",0,"3,463,588.23"
2-Sep-20,RTGS,"1,216,645.50",0,"4,680,233.73"
2-Sep-20,Interest,0,"520,025.97","4,160,207.76"
2-Sep-20,Transfer,0,"462,245.31","3,697,962.45"
2-Sep-20,Bill,0,"410,884.72","3,287,077.73"
2-Sep-20,Transfer,7.9,0,"3,287,085.63"
2-Sep-20,Tax,377.55,0,"3,287,463.18"
2-Sep-20,Miscellaneous,245.53,0,"3,287,708.71"
2-Sep-20,ATM,0,"657,541.74","2,630,166.97"
2-Sep-20,NEFT,0,"263,016.70","2,367,150.27"
2-Sep-20,NEFT,51.1,0,"2,367,201.37"
3-Sep-20,Bill,0,"789,067.12","1,578,134.25"
3-Sep-20,Purchase,0,"789,067.13","789,067.12"
3-Sep-20,RTGS,"1,384.35",0,"790,451.47"
4-Sep-20,Transfer,0,"98,806.43","691,645.04"
4-Sep-20,Interest,0,"98,806.43","592,838.61"
4-Sep-20,NEFT,0,"592,838.61",0
4-Sep-20,RTGS,0.72,0,0.72
4-Sep-20,Transfer,3.33,0,4.05
5-Sep-20,Reversal,0,1.35,2.7
5-Sep-20,Bill,0,1.35,1.35
5-Sep-20,Interest,0,0.23,1.12
5-Sep-20,Reversal,922,0,923.12
5-Sep-20,Commission,"1,858,278.00",0,"1,859,201.12"
5-Sep-20,Interest,277,0,"1,859,478.12"
5-Sep-20,Interest,0,"619,826.04","1,239,652.08"
5-Sep-20,Transfer,340.9,0,"1,239,992.98"
5-Sep-20,Transfer,"1,892.78",0,"1,241,885.76"
5-Sep-20,Bill,0,"248,377.15","993,508.61"
5-Sep-20,NEFT,0,"198,701.72","794,806.89"
5-Sep-20,Cheque,0,"88,311.88","706,495.01"
5-Sep-20,Transfer,"9,815.44",0,"716,310.45"
5-Sep-20,Cheque,"723,495.75",0,"1,439,806.20"
5-Sep-20,ATM,0,"143,980.62","1,295,825.58"
6-Sep-20,Bill,6.5,0,"1,295,832.08"
6-Sep-20,NEFT,347,0,"1,296,179.08"
6-Sep-20,Tax,"12,657.40",0,"1,308,836.48"
6-Sep-20,Interest,"220,259.06",0,"1,529,095.54"
6-Sep-20,RTGS,0,"382,273.89","1,146,821.66"
6-Sep-20,NEFT,167.5,0,"1,146,989.16"
6-Sep-20,Cheque,0,"573,494.58","573,494.58"
6-Sep-20,Cheque,0,"71,686.82","501,807.76"
6-Sep-20,IMPS,"750,867.20",0,"1,252,674.96"
6-Sep-20,NEFT,59.8,0,"1,252,734.76"
6-Sep-20,IMPS,"4,778.51",0,"1,257,513.27"
6-Sep-20,Miscellaneous,0,"1,257,513.27",0
6-Sep-20,NEFT,"25,899.00",0,"25,899.00"
6-Sep-20,Commission,0,"3,699.86","22,199.14"
6-Sep-20,Interest,0,0,"22,199.14"
6-Sep-20,Miscellaneous,0,"2,466.57","19,732.57"
6-Sep-20,Cheque,0,"19,732.57",0
6-Sep-20,Transfer,4.21,0,4.21
6-Sep-20,Cheque,0,1.05,3.16
6-Sep-20,Debit Card,0,0.53,2.63
6-Sep-20,Miscellaneous,0,0.66,1.97
6-Sep-20,Debit Card,0,0.99,0.98
6-Sep-20,IMPS,0,0.98,0
6-Sep-20,Bill,213.6,0,213.6
6-Sep-20,Reversal,"2,033,119.20",0,"2,033,332.80"
6-Sep-20,Cash,"260,909.12",0,"2,294,241.92"
6-Sep-20,Reversal,0,"286,780.24","2,007,461.68"
6-Sep-20,Interest,0,"401,492.34","1,605,969.34"
6-Sep-20,ATM,"23,090.54",0,"1,629,059.88"
6-Sep-20,Transfer,778.81,0,"1,629,838.69"
6-Sep-20,IMPS,0,"232,834.10","1,397,004.59"
7-Sep-20,Cheque,442.45,0,"1,397,447.04"
7-Sep-20,Transfer,"1,251.00",0,"1,398,698.04"
7-Sep-20,Reversal,8.7,0,"1,398,706.74"
7-Sep-20,Commission,0,"233,117.79","1,165,588.95"
7-Sep-20,Cash,0,"166,512.71","999,076.24"
7-Sep-20,Miscellaneous,"32,705.00",0,"1,031,781.24"
7-Sep-20,IMPS,0,"147,397.32","884,383.92"
7-Sep-20,Purchase,0,"126,340.56","758,043.36"
7-Sep-20,Bill,7.7,0,"758,051.06"
7-Sep-20,ATM,"2,432.00",0,"760,483.06"
7-Sep-20,Cheque,"4,052.17",0,"764,535.23"
7-Sep-20,IMPS,0,"76,453.52","688,081.71"
7-Sep-20,Transfer,39.5,0,"688,121.21"
7-Sep-20,Cash,"1,513,966.00",0,"2,202,087.21"
7-Sep-20,IMPS,412,0,"2,202,499.21"
7-Sep-20,Transfer,0,"244,722.13","1,957,777.08"
7-Sep-20,Reversal,5,0,"1,957,782.08"
7-Sep-20,Cheque,0,"326,297.01","1,631,485.07"
7-Sep-20,Reversal,"1,782,155.00",0,"3,413,640.07"
7-Sep-20,Transfer,"156,911.84",0,"3,570,551.91"
7-Sep-20,Commission,0,"357,055.19","3,213,496.72"
7-Sep-20,Cheque,0,"357,055.19","2,856,441.53"
7-Sep-20,Bill,0,"952,147.18","1,904,294.35"
7-Sep-20,Reversal,"2,534.91",0,"1,906,829.26"
7-Sep-20,Purchase,"69,855.00",0,"1,976,684.26"
7-Sep-20,Reversal,166.34,0,"1,976,850.60"
7-Sep-20,NEFT,"8,517.02",0,"1,985,367.62"
7-Sep-20,Interest,2,0,"1,985,369.62"
7-Sep-20,ATM,3,0,"1,985,372.62"
7-Sep-20,Purchase,125.08,0,"1,985,497.70"
7-Sep-20,Interest,"10,590.00",0,"1,996,087.70"
7-Sep-20,Interest,"596,055.80",0,"2,592,143.50"
7-Sep-20,Interest,"396,941.50",0,"2,989,085.00"
7-Sep-20,Commission,21,0,"2,989,106.00"
7-Sep-20,Tax,"3,310.90",0,"2,992,416.90"
7-Sep-20,Tax,0.8,0,"2,992,417.70"
7-Sep-20,Commission,98.24,0,"2,992,515.94"
7-Sep-20,Reversal,5.5,0,"2,992,521.44"
7-Sep-20,Reversal,"10,164.00",0,"3,002,685.44"
7-Sep-20,Cash,0,"500,447.57","2,502,237.87"
7-Sep-20,Interest,"382,115.50",0,"2,884,353.37"
7-Sep-20,Purchase,0,"961,451.12","1,922,902.25"
7-Sep-20,Interest,0,"961,451.13","961,451.12"
8-Sep-20,NEFT,"1,499.00",0,"962,950.12"
8-Sep-20,Purchase,325,0,"963,275.12"
8-Sep-20,ATM,"766,598.20",0,"1,729,873.32"
8-Sep-20,Cheque,"241,951.00",0,"1,971,824.32"
8-Sep-20,Commission,29,0,"1,971,853.32"
8-Sep-20,Transfer,"59,175.20",0,"2,031,028.52"
8-Sep-20,Reversal,0,"253,878.57","1,777,149.96"
8-Sep-20,NEFT,0,"177,715.00","1,599,434.96"
8-Sep-20,Cheque,0,"228,490.71","1,370,944.25"
8-Sep-20,Bill,0,"342,736.06","1,028,208.19"
8-Sep-20,Miscellaneous,"1,360,620.25",0,"2,388,828.44"
8-Sep-20,Miscellaneous,1,0,"2,388,829.44"
8-Sep-20,ATM,"26,845.22",0,"2,415,674.66"
8-Sep-20,RTGS,281.8,0,"2,415,956.46"
8-Sep-20,Commission,0,"483,191.29","1,932,765.17"
8-Sep-20,IMPS,24.55,0,"1,932,789.72"
8-Sep-20,Miscellaneous,6.2,0,"1,932,795.92"
8-Sep-20,Cash,1,0,"1,932,796.92"
8-Sep-20,Miscellaneous,0,"966,398.46","966,398.46"
8-Sep-20,Debit Card,0,"96,639.85","869,758.61"
8-Sep-20,Debit Card,"4,014.00",0,"873,772.61"
8-Sep-20,Cheque,41,0,"873,813.61"
8-Sep-20,Interest,0,"109,226.70","764,586.91"
8-Sep-20,Cash,0.5,0,"764,587.41"
9-Sep-20,Debit Card,"3,398.00",0,"767,985.41"
9-Sep-20,Bill,98,0,"768,083.41"
9-Sep-20,Miscellaneous,0,"85,342.60","682,740.81"
9-Sep-20,Tax,0,"68,274.08","614,466.73"
9-Sep-20,IMPS,0,"76,808.34","537,658.39"
9-Sep-20,Debit Card,"7,032.00",0,"544,690.39"
9-Sep-20,ATM,"200,667.00",0,"745,357.39"
9-Sep-20,Transfer,0,"372,678.70","372,678.70"
9-Sep-20,Miscellaneous,0,"186,339.35","186,339.35"
9-Sep-20,Debit Card,"1,688,438.50",0,"1,874,777.85"
9-Sep-20,IMPS,0,"234,347.23","1,640,430.62"
9-Sep-20,Interest,"194,362.00",0,"1,834,792.62"
9-Sep-20,Reversal,0,"366,958.52","1,467,834.10"
9-Sep-20,ATM,2,0,"1,467,836.10"
9-Sep-20,Cheque,119.6,0,"1,467,955.70"
9-Sep-20,Miscellaneous,0,"209,707.96","1,258,247.74"
9-Sep-20,Transfer,121.48,0,"1,258,369.22"
10-Sep-20,ATM,0,"179,767.03","1,078,602.19"
10-Sep-20,RTGS,191,0,"1,078,793.19"
11-Sep-20,Reversal,0,"359,597.73","719,195.46"
11-Sep-20,Transfer,"452,610.00",0,"1,171,805.46"
12-Sep-20,Cheque,"4,916.90",0,"1,176,722.36"
12-Sep-20,Cash,0,"588,361.18","588,361.18"
12-Sep-20,Cash,0,"58,836.12","529,525.06"
12-Sep-20,NEFT,"260,382.60",0,"789,907.66"
12-Sep-20,Debit Card,221,0,"790,128.66"
12-Sep-20,Transfer,"545,386.20",0,"1,335,514.86"
12-Sep-20,Interest,0,"190,787.84","1,144,727.02"
12-Sep-20,Debit Card,0,"228,945.40","915,781.62"
12-Sep-20,Interest,0,"91,578.16","824,203.46"
12-Sep-20,RTGS,0,"274,734.49","549,468.97"
12-Sep-20,Interest,781,0,"550,249.97"
12-Sep-20,Commission,"1,910.00",0,"552,159.97"
12-Sep-20,Tax,0,"110,431.99","441,727.98"
12-Sep-20,Transfer,3,0,"441,730.98"
12-Sep-20,Cash,22,0,"441,752.98"
